,Player,Season,School,Conf,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS
50,wesley-matthews,Career,Marquette,,127,,4.0,9.1,0.444,3.2,6.8,0.48,0.8,2.3,0.341,4.3,5.4,0.799,4.9,2.1,1.2,0.3,2.0,,13.2
51,channing-frye,Career,Arizona,,133,27.7,5.3,9.5,0.562,5.3,9.3,0.568,0.0,0.2,0.261,2.8,3.7,0.759,7.3,1.3,0.6,1.9,,,13.5
52,arron-afflalo,Career,UCLA,,104,32.7,5.0,10.9,0.457,3.0,5.5,0.539,2.0,5.4,0.373,2.8,3.6,0.7809999999999999,3.5,1.9,0.6,0.2,,,14.8
53,allen-crabbe,Career,University of California,,98,34.7,5.4,12.2,0.446,3.3,6.6,0.5,2.1,5.6,0.382,2.7,3.3,0.8190000000000001,5.7,2.2,0.9,0.6,1.9,1.7,15.7
54,meyers-leonard,Career,Illinois,,65,19.8,3.0,5.4,0.5670000000000001,3.0,5.2,0.585,0.0,0.2,0.083,1.6,2.2,0.7290000000000001,4.7,0.7,0.3,1.1,1.4,2.2,7.7
55,shane-battier,Career,Duke,,146,31.4,4.5,8.9,0.5,2.8,4.9,0.57,1.7,4.1,0.41600000000000004,3.0,3.8,0.777,6.1,1.6,1.8,1.7,1.2,1.6,13.6
56,mike-bibby,Career,Arizona,,69,32.6,5.2,11.4,0.456,3.1,6.1,0.514,2.1,5.3,0.39,2.9,3.9,0.73,3.1,5.4,2.3,0.2,2.9,1.1,15.4
57,matt-carroll,Career,Notre Dame,,133,31.2,4.7,10.6,0.445,2.5,4.9,0.503,2.3,5.7,0.395,2.2,2.7,0.825,4.3,2.4,0.9,0.2,,,13.9
58,courtney-lee,Career,Western Kentucky,,127,31.2,6.3,13.6,0.46399999999999997,4.4,8.8,0.498,1.9,4.8,0.401,3.1,3.7,0.8170000000000001,5.2,2.2,1.9,0.6,2.3,,17.6
59,kevin-martin,Career,Western Carolina,,79,31.8,7.2,15.5,0.462,4.9,9.1,0.542,2.2,6.4,0.34600000000000003,6.8,8.0,0.841,4.5,1.7,1.7,0.4,,,23.3
60,steve-blake,Career,Maryland,,138,31.3,2.7,6.8,0.401,1.4,3.3,0.423,1.3,3.5,0.381,1.5,2.0,0.7709999999999999,3.4,7.0,1.7,0.3,3.3,2.1,8.3
61,eric-gordon,Career,Indiana,,32,34.7,5.8,13.3,0.433,3.6,6.8,0.525,2.2,6.5,0.337,7.2,8.7,0.8340000000000001,3.3,2.4,1.3,0.6,3.6,,20.9
62,roger-mason,Career,Virginia,,89,29.6,4.4,10.0,0.436,2.8,5.9,0.479,1.5,4.1,0.375,3.6,4.1,0.8690000000000001,3.0,2.6,1.0,0.4,2.2,2.3,13.8
63,gary-neal,Career,Overall,,106,,7.0,16.3,0.42700000000000005,4.1,8.3,0.49200000000000005,2.9,8.0,0.359,4.9,5.9,0.8270000000000001,3.9,2.6,1.2,0.1,,,21.7
64,brian-cook,Career,Illinois,,132,25.7,4.8,9.4,0.51,4.1,7.3,0.5579999999999999,0.7,2.1,0.33899999999999997,2.9,3.7,0.7929999999999999,6.2,1.3,0.7,1.0,2.0,3.0,13.2
65,cuttino-mobley,Career,Rhode Island,,93,27.6,5.0,11.5,0.43799999999999994,3.4,7.0,0.49,1.6,4.4,0.354,2.8,3.4,0.821,4.2,2.0,1.5,0.4,1.9,1.9,14.3
66,michael-finley,Career,Wisconsin,,115,34.3,6.4,14.6,0.44,4.6,9.1,0.501,1.9,5.5,0.33799999999999997,4.0,5.2,0.769,5.6,3.2,1.5,0.7,2.8,2.5,18.7
67,jimmer-fredette,Career,BYU,,139,33.5,6.0,13.3,0.455,3.9,7.8,0.49700000000000005,2.1,5.4,0.39399999999999996,4.5,5.1,0.882,2.6,3.7,1.2,0.1,2.5,0.6,18.7
68,jason-terry,Career,Arizona,,129,26.0,3.8,8.6,0.44299999999999995,2.3,4.6,0.503,1.5,4.0,0.374,2.3,2.9,0.784,2.3,3.8,1.9,0.1,2.4,1.0,11.3
69,kevin-durant,Career,Texas,,35,35.9,8.7,18.5,0.473,6.4,12.7,0.505,2.3,5.8,0.40399999999999997,6.0,7.3,0.816,11.1,1.3,1.9,1.9,,,25.8
70,danny-granger,Career,Overall,,95,28.4,5.6,11.2,0.496,4.7,9.0,0.529,0.8,2.2,0.366,4.7,6.3,0.753,8.2,1.6,1.6,1.9,,,16.7
71,richard-jefferson,Career,Arizona,,84,26.3,4.0,8.1,0.49,3.3,6.2,0.528,0.7,1.9,0.368,2.5,3.5,0.718,5.0,2.8,0.6,0.8,2.7,2.6,11.2
72,chandler-parsons,Career,Florida,,142,32.6,3.7,7.8,0.47700000000000004,2.6,4.6,0.575,1.1,3.2,0.337,1.7,2.8,0.611,6.0,2.4,0.9,0.3,1.6,1.0,10.2
73,michael-redd,Career,Ohio State,,96,33.1,7.3,16.3,0.44799999999999995,6.0,12.2,0.491,1.3,4.1,0.319,3.7,5.7,0.649,6.2,2.5,1.6,0.1,2.3,1.2,19.6
74,mike-james,Career,Duquesne,,111,25.8,4.8,10.9,0.444,4.0,8.3,0.479,0.8,2.5,0.32899999999999996,2.2,3.0,0.726,3.0,2.8,1.8,0.1,,,12.7
